"month","flat_type","block","street_name","storey_range","Floor_Range","floor_area_sqm","lease_commence_date","remaining_lease","Total_Months","resale_price","Flag_for_floor_range","Flag_for_total_months"
"2020-07","5 ROOM","275A","BISHAN ST 24","28 TO 30","28","120","2011","90 years 03 months","1080","1060000","3","1"
"2020-07","5 ROOM","273B","BISHAN ST 24","13 TO 15","13","120","2011","90 years 03 months","1080","1050000","3","1"
"2020-07","5 ROOM","442","SIN MING AVE","07 TO 09","7","120","1990","68 years 08 months","816","600000","2","1"
"2020-07","EXECUTIVE","119","BISHAN ST 12","10 TO 12","10","143","1987","65 years 11 months","780","930000","2","1"
"2020-07","EXECUTIVE","128","BISHAN ST 12","22 TO 24","22","150","1987","65 years 07 months","780","1080000","3","1"
"2020-08","3 ROOM","120","BISHAN ST 12","01 TO 03","1","64","1986","64 years 09 months","768","365000","1","1"
"2020-08","3 ROOM","22","SIN MING RD","07 TO 09","7","68","1973","52 years 02 months","624","260000","2","0"
"2020-08","4 ROOM","113","BISHAN ST 12","04 TO 06","4","84","1986","64 years 05 months","768","470000","1","1"
"2020-08","4 ROOM","116","BISHAN ST 12","04 TO 06","4","89","1985","64 years 03 months","768","530000","1","1"
"2020-08","4 ROOM","193","BISHAN ST 13","04 TO 06","4","83","1987","66 years 05 months","792","520000","1","1"
"2020-08","4 ROOM","184","BISHAN ST 13","04 TO 06","4","90","1988","66 years 06 months","792","575300","1","1"
"2020-08","4 ROOM","154","BISHAN ST 13","07 TO 09","7","84","1987","66 years 04 months","792","418000","2","1"
"2020-08","4 ROOM","166","BISHAN ST 13","04 TO 06","4","88","1987","66 years 04 months","792","430000","1","1"
"2020-08","4 ROOM","250","BISHAN ST 22","01 TO 03","1","105","1992","71 years","852","520000","1","1"
"2020-08","4 ROOM","250","BISHAN ST 22","10 TO 12","10","103","1992","71 years","852","565000","2","1"
"2020-08","4 ROOM","213","BISHAN ST 23","01 TO 03","1","105","1992","70 years 09 months","840","480000","1","1"
"2020-08","4 ROOM","281","BISHAN ST 24","04 TO 06","4","103","1992","71 years","852","570000","1","1"
"2020-08","4 ROOM","265","BISHAN ST 24","04 TO 06","4","112","1992","71 years","852","610000","1","1"
"2020-08","4 ROOM","302","SHUNFU RD","01 TO 03","1","100","1984","63 years 02 months","756","558000","1","1"
"2020-08","4 ROOM","455","SIN MING AVE","01 TO 03","1","105","1990","68 years 06 months","816","506000","1","1"
"2020-08","5 ROOM","194","BISHAN ST 13","10 TO 12","10","121","1987","65 years 10 months","780","773000","2","1"
"2020-08","5 ROOM","179","BISHAN ST 13","13 TO 15","13","121","1987","66 years","792","836800","3","1"
"2020-08","5 ROOM","157","BISHAN ST 13","19 TO 21","19","121","1988","66 years 05 months","792","760000","3","1"
"2020-08","5 ROOM","165","BISHAN ST 13","04 TO 06","4","121","1988","67 years 01 month","804","635888","1","1"
"2020-08","5 ROOM","293","BISHAN ST 22","10 TO 12","10","123","1998","76 years 11 months","912","752000","2","1"
"2020-08","5 ROOM","242","BISHAN ST 22","01 TO 03","1","132","1992","71 years","852","750000","1","1"
"2020-08","5 ROOM","292","BISHAN ST 22","07 TO 09","7","121","1998","76 years 10 months","912","780000","2","1"
"2020-08","5 ROOM","275A","BISHAN ST 24","04 TO 06","4","120","2011","90 years 01 month","1080","840000","1","1"
"2020-08","5 ROOM","273B","BISHAN ST 24","01 TO 03","1","120","2011","89 years 11 months","1068","830000","1","1"
